t,roll,pitch
0.030031442642211914,0.0,0.0
0.07076740264892578,0.0,0.0
0.10078167915344238,0.0,0.0
0.1308002471923828,0.0,0.0
0.16080760955810547,0.0,0.0
0.19081711769104004,0.0,0.0
0.2208232879638672,0.0,0.0
0.25083136558532715,0.0,0.0
0.2808411121368408,0.0,0.0
0.3108484745025635,0.0,0.0
0.34085726737976074,0.0,0.0
0.3708631992340088,0.0,0.0
0.40087223052978516,0.0,0.0
0.4308815002441406,0.0,0.0
0.4608876705169678,0.0,0.0
0.49089622497558594,0.0,0.0
0.5209057331085205,0.0,0.0
0.5509123802185059,0.0,0.0
0.5809195041656494,0.0,0.0
0.6109261512756348,0.0,0.0
0.6409335136413574,0.0,0.0
0.6709420680999756,0.0,0.0
0.7009515762329102,0.0,0.0
0.7309601306915283,0.0,0.0
0.7609663009643555,0.0,0.0
0.7909767627716064,0.0,0.0
0.8209848403930664,0.0,0.0
0.8509936332702637,0.0,0.0
0.8810012340545654,0.0,0.0
0.9110112190246582,0.0,0.0
0.9410216808319092,0.0,0.0
0.9710297584533691,0.0,0.0
1.001039743423462,0.0,0.0
1.0310461521148682,0.0,0.0
1.0610554218292236,0.0,0.0
1.0910673141479492,0.0,0.0
1.1210744380950928,0.0,0.0
1.15108323097229,0.0,0.0
1.1810905933380127,0.0,0.0
1.2111008167266846,0.0,0.0
1.241107702255249,0.0,0.0
1.2711141109466553,0.0,0.0
1.3011231422424316,0.0,0.0
1.3311305046081543,0.0,0.0
1.361140251159668,0.0,0.0
1.3911471366882324,0.0,0.0
1.421156406402588,0.0,0.0
1.4511663913726807,0.0,0.0
1.481175422668457,0.0,0.0
1.5111818313598633,0.0,0.0
1.5411903858184814,0.0,0.0
1.5712003707885742,0.0,0.0
1.6012077331542969,0.0,0.0
1.6312165260314941,0.0,0.0
1.661224603652954,0.0,0.0
1.6912319660186768,0.0,0.0
1.7212409973144531,0.0,0.0
1.7512478828430176,0.0,0.0
1.7812585830688477,0.0,0.0
1.8112685680389404,0.0,0.0
1.8412785530090332,0.0,0.0
1.8712852001190186,0.0,0.0
1.9012939929962158,0.0,0.0
1.931300401687622,0.0,0.0
1.9613091945648193,0.0,0.0
1.9913172721862793,0.0,0.0
2.0213255882263184,0.0,0.0
2.0513336658477783,0.0,0.0
2.081343650817871,0.0,0.0
2.111351728439331,0.0,0.0
